tenure,PhoneService,MonthlyCharges,TotalCharges,MonthlyCharges_to_TotalCharges_Ratio,Bank transfer (automatic),Credit card (automatic),Electronic check,Mailed check,Month-to-month,One year,Two year
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
66,1,105.65,6844.5,0.0154357513331872,1,0,1,0,1,0,1
